Enrichment,GH,Active_Rate,Hits,Actives,filename,fbase,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,receptor,hyd,don,acc,ani,cat,aro,donhyd,catdon,hydaro,aniacc,donacc,features,s_score,hyd_prop,don_prop,acc_prop,ani_prop,cat_prop,aro_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
NaN,NaN,NaN,0,0,4283.ph4,4283,15.463921,2.1920481,8.4623432,41.010883,28.171516,35.399738,D2,2,1,1,0,0,0,0,1,0,0,0,5,-2.8629441,0.4,0.2,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3514.ph4,3514,15.466319,1.4180088,11.084754,44.065319,29.929834,37.347012,D2,3,0,1,0,0,0,0,0,0,0,1,5,-2.3024201,0.6,0,0.2,0,0,0,0,0,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,4612.ph4,4612,15.495212,2.3380497,10.688975,42.451389,27.015545,35.903793,D2,2,0,2,0,0,0,0,1,0,0,0,5,-0.36088857,0.4,0,0.4,0,0,0,0,0.2,0,0,0,Not Quality
0,0,0,1,0,659.ph4,659,15.496972,1.440974,8.2408981,42.975834,30.2124,39.023838,D2,3,0,1,0,0,0,0,1,0,0,0,5,-1.1094513,0.6,0,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4920.ph4,4920,15.50691,2.2364824,8.7572927,40.550541,27.217072,34.78236,D2,1,1,2,0,0,0,0,0,0,1,0,5,-0.37058824,0.2,0.2,0.4,0,0,0,0,0,0,0.2,0,Not Quality
0,0,0,2,0,1057.ph4,1057,15.51149,1.440974,9.3607702,42.975834,30.332474,37.973171,D2,3,0,1,0,0,0,0,1,0,0,0,5,-1.7035909,0.6,0,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,505.ph4,505,15.573757,2.5258272,8.2998343,45.772671,32.049976,38.045849,D2,1,1,2,0,0,0,0,0,0,1,0,5,-1.2375,0.2,0.2,0.4,0,0,0,0,0,0,0.2,0,Not Quality
NaN,NaN,NaN,0,0,3519.ph4,3519,15.594822,2.438098,8.4494982,42.019684,29.62479,33.87389,D2,0,1,1,0,0,0,0,1,0,2,0,5,-1.7723206,0,0.2,0.2,0,0,0,0,0.2,0,0.4,0,Not Quality
NaN,NaN,NaN,0,0,3697.ph4,3697,15.596161,3.1588805,9.3508749,45.274994,30.07546,35.738949,D2,1,1,1,0,0,0,0,0,0,1,1,5,-1.9833333,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.2,Not Quality
NaN,NaN,NaN,0,0,587.ph4,587,15.604155,1.5415739,9.3144064,38.298195,24.915276,31.714399,D2,2,0,0,0,0,0,0,1,0,0,2,5,-1.1,0.4,0,0,0,0,0,0,0.2,0,0,0.4,Not Quality
NaN,NaN,NaN,0,0,3959.ph4,3959,15.60569,2.4138088,9.2756405,39.840363,27.234291,34.573719,D2,1,1,3,0,0,0,0,0,0,0,0,5,-0.49285713,0.2,0.2,0.6,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4961.ph4,4961,15.617916,1.1205842,7.0299497,40.079659,26.366055,36.422825,D2,2,0,0,0,0,0,0,2,0,0,1,5,-2.4112344,0.4,0,0,0,0,0,0,0.4,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,4114.ph4,4114,15.624007,1.320905,7.8224554,41.467884,27.514772,37.013607,D2,0,0,1,0,0,0,0,0,0,3,1,5,-0.29333332,0,0,0.2,0,0,0,0,0,0,0.6,0.2,Not Quality
NaN,NaN,NaN,0,0,3004.ph4,3004,15.659483,2.2364824,8.7187843,40.550541,27.746532,34.438255,D2,1,2,2,0,0,0,0,0,0,0,0,5,-1.4384615,0.2,0.4,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4296.ph4,4296,15.66629,2.0803485,7.3582854,42.054081,29.559311,34.188362,D2,2,0,0,0,0,0,0,1,0,0,2,5,-2.1358037,0.4,0,0,0,0,0,0,0.2,0,0,0.4,Not Quality
NaN,NaN,NaN,0,0,4601.ph4,4601,15.689098,1.531635,7.0419936,46.484863,31.804813,35.820217,D2,3,0,0,0,0,0,0,0,0,1,1,5,-1.9579061,0.6,0,0,0,0,0,0,0,0,0.2,0.2,Not Quality
0,0,0,4,0,1114.ph4,1114,15.698466,3.9236596,8.9693699,44.065319,29.600584,37.092773,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.11818182,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,757.ph4,757,15.709029,2.1915076,8.7966633,40.19783,26.691652,32.979633,D2,2,1,2,0,0,0,0,0,0,0,0,5,-0.18000001,0.4,0.2,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2048.ph4,2048,15.720182,2.1850662,8.7457819,41.291084,28.139435,33.820015,D2,0,1,1,0,0,0,0,2,0,0,1,5,-3.184659,0,0.2,0.2,0,0,0,0,0.4,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,4072.ph4,4072,15.72438,2.5282667,8.9065905,39.238785,26.008486,31.942743,D2,2,2,1,0,0,0,0,0,0,0,0,5,-0.99166667,0.4,0.4,0.2,0,0,0,0,0,0,0,0,Not Quality
0,0,0,2,0,3063.ph4,3063,15.760272,2.915328,7.8207111,39.227398,25.958712,34.09864,D2,3,2,0,0,0,0,0,0,0,0,0,5,-1.38,0.6,0.4,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,1167.ph4,1167,15.777477,1.3197364,8.7508936,45.38718,31.944799,36.599846,D2,0,0,2,0,0,0,0,0,0,2,1,5,-0.32666665,0,0,0.4,0,0,0,0,0,0,0.4,0.2,Not Quality
NaN,NaN,NaN,0,0,2906.ph4,2906,15.782945,2.3731871,10.687251,42.315979,26.899172,34.763767,D2,2,1,2,0,0,0,0,0,0,0,0,5,-1.25,0.4,0.2,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3943.ph4,3943,15.787759,1.5319092,7.716774,42.678688,29.345913,33.09705,D2,2,1,1,0,0,0,0,1,0,0,0,5,-1.5354431,0.4,0.2,0.2,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2452.ph4,2452,15.791739,1.0872658,7.6709442,41.901615,29.356289,33.14838,D2,1,0,3,0,0,0,0,1,0,0,0,5,-1.5120289,0.2,0,0.6,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,879.ph4,879,15.798048,1.1396061,9.5310307,38.196903,24.915276,31.800547,D2,2,0,0,0,0,0,0,2,0,0,1,5,-0.6785714,0.4,0,0,0,0,0,0,0.4,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,499.ph4,499,15.805561,1.1436647,9.4128113,39.758232,26.933765,34.351505,D2,1,0,0,0,0,0,0,4,0,0,0,5,-3.6478696,0.2,0,0,0,0,0,0,0.8,0,0,0,Not Quality
