Receptor,Score Type,Hits,Enrichment,search_features,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT2C,dU,-99999,0,6,5.6438432,0.92898899,3.0367813,4.8750286,1.7678758,3.4752147,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dU,-99999,0,7,5.6438432,0.92898899,3.0367813,4.8750286,1.7678758,3.4752147,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
A2A,dE(class),565,1.007079646,3,10.075701,1.4098582,6.3458438,6.0713797,3.827318,5.0469475,3,0,1,0,0,2,0,1,7,0,0.428571429,0,0.142857143,0,0,0.285714286,0,0.142857143,0
A2A,dE(class),473,0.871108843,4,10.075701,1.4098582,6.3458438,6.0713797,3.827318,5.0469475,3,0,1,0,0,2,0,1,7,0,0.428571429,0,0.142857143,0,0,0.285714286,0,0.142857143,0
A2A,dE(class),133,1.032667877,5,10.075701,1.4098582,6.3458438,6.0713797,3.827318,5.0469475,3,0,1,0,0,2,0,1,7,0,0.428571429,0,0.142857143,0,0,0.285714286,0,0.142857143,0
A2A,dE(class),13,0,6,10.075701,1.4098582,6.3458438,6.0713797,3.827318,5.0469475,3,0,1,0,0,2,0,1,7,0,0.428571429,0,0.142857143,0,0,0.285714286,0,0.142857143,0
A2A,dE(class),-99999,0,7,10.075701,1.4098582,6.3458438,6.0713797,3.827318,5.0469475,3,0,1,0,0,2,0,1,7,0,0.428571429,0,0.142857143,0,0,0.285714286,0,0.142857143,0
A2A,dE,555,0.989872631,3,9.9838028,1.0507088,5.842505,6.4480882,2.0663736,4.6973381,0,0,3,0,1,2,1,0,7,0,0,0,0.428571429,0,0.142857143,0.285714286,0.142857143,0,0
A2A,dE,281,0.768069702,4,9.9838028,1.0507088,5.842505,6.4480882,2.0663736,4.6973381,0,0,3,0,1,2,1,0,7,0,0,0,0.428571429,0,0.142857143,0.285714286,0.142857143,0,0
A2A,dE,12,1.635057471,5,9.9838028,1.0507088,5.842505,6.4480882,2.0663736,4.6973381,0,0,3,0,1,2,1,0,7,0,0,0,0.428571429,0,0.142857143,0.285714286,0.142857143,0,0
A2A,dE,-99999,0,6,9.9838028,1.0507088,5.842505,6.4480882,2.0663736,4.6973381,0,0,3,0,1,2,1,0,7,0,0,0,0.428571429,0,0.142857143,0.285714286,0.142857143,0,0
A2A,dE,-99999,0,7,9.9838028,1.0507088,5.842505,6.4480882,2.0663736,4.6973381,0,0,3,0,1,2,1,0,7,0,0,0,0.428571429,0,0.142857143,0.285714286,0.142857143,0,0
A2A,dU(class),564,0.974076791,3,8.3158131,1.1655952,4.5306869,10.404747,3.5824029,7.1660495,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,dU(class),524,0.97354567,4,8.3158131,1.1655952,4.5306869,10.404747,3.5824029,7.1660495,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
