,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
104563,7,6.3488398,3.7723939,4.6024675,3.2206992999999997,4.1859908,5,0,-0.51428574,0.8,0.0,0.0,0.0,0.0,0
27874,2,10.604967,6.782075900000001,7.6987065999999995,3.5907949999999995,5.6737542,5,0,-0.93157893,0.2,0.2,0.0,0.0,0.0,0
115820,0,17.845688,11.980288999999999,11.393108999999999,6.196538400000001,9.0198412,4,1,-0.2,1.0,0.0,0.0,0.0,0.0,2
23435,5,6.1097355,3.1391807000000003,4.2104712,2.7474277000000003,3.3779489999999996,5,0,-2.0859978,0.2,0.2,0.4,0.0,0.0,0
92458,0,14.917964999999999,7.0235161999999995,8.6920471,5.7888246,7.3808489,5,0,-0.44615385,0.6,0.0,0.0,0.0,0.0,2
48312,0,5.1527581,4.8133597,4.572383900000001,2.63024,3.6017365,3,0,-0.34285715,0.333333333,0.333333333,0.0,0.0,0.0,0
61298,4,11.169462,7.0931234,10.343166,3.0136432999999996,7.1563954,5,0,-3.4315444999999998,0.4,0.2,0.2,0.0,0.0,0
55981,3,6.773591000000001,3.5973637000000003,7.5393300000000005,4.550533799999999,6.0141015,5,0,-1.0966356000000002,0.4,0.0,0.6,0.0,0.0,0
24692,0,8.017478,4.502129599999999,10.591786,6.222176599999999,9.2259731,5,0,-3.3249748,0.2,0.0,0.6,0.0,0.0,0
87488,13,10.122618,6.8233895,16.155569,10.865338000000001,13.364732,5,0,-1.01875,0.6,0.0,0.0,0.0,0.0,2
58896,2,9.5127258,6.194136599999999,11.324786,5.423792400000001,8.381293300000001,5,0,-2.9301197999999995,0.4,0.0,0.0,0.0,0.0,0
10510,0,11.072579,6.5387216,15.203079,7.288790700000001,10.156428,4,0,-0.6111111,0.0,0.25,0.0,0.0,0.0,2
94751,0,18.076874,12.187524,12.486539,5.6403551,8.6596718,5,0,-2.0181438999999997,0.6,0.2,0.0,0.0,0.0,2
85896,2,8.4434462,5.1980014,5.8177605,1.77643,3.6779349000000003,5,0,-2.5605662000000002,0.6,0.0,0.0,0.0,0.4,0
104373,13,5.5851622,3.4887544999999998,4.468888300000001,2.2650599,3.5004937999999997,5,0,-0.13333334,0.8,0.0,0.0,0.0,0.0,0
60216,2,10.466238,6.71103,8.195463199999999,1.8029903999999999,5.3792504999999995,5,0,-0.4375,0.4,0.0,0.0,0.2,0.0,0
106292,5,10.18244,5.125723799999999,5.264014700000001,3.2073896,4.324713200000001,5,0,-0.52499998,0.8,0.0,0.0,0.0,0.0,0
54537,0,21.143459,14.5779,16.494208999999998,11.97536,13.675203,3,0,-4.6089310999999995,0.333333333,0.0,0.333333333,0.0,0.0,2
17573,0,15.46907,9.8380756,11.689602,6.0018201,9.1395159,4,0,-2.0222223,0.0,0.25,0.0,0.0,0.0,2
83581,9,4.1099714999999994,2.5536354,5.0218992,3.1536447999999995,4.119875,5,0,-0.8230769,0.6,0.2,0.0,0.0,0.0,0
61496,5,11.289421,7.0034814,11.490381,9.571736300000001,10.733486,5,0,-0.81999999,0.4,0.2,0.0,0.0,0.0,2
75733,0,7.738860099999999,7.738860099999999,8.1907139,2.1931458,5.1919298,2,0,-0.12857144,0.5,0.0,0.0,0.0,0.0,0
55737,2,6.3558955,4.2436848,4.5335436,2.3714347,3.7172434,5,0,-0.25,0.4,0.0,0.0,0.0,0.6,0
88730,1,11.217731,8.751238800000001,9.133422900000001,4.117909,7.130123599999999,5,0,-0.5090909,0.6,0.0,0.0,0.0,0.0,2
24856,0,8.188814200000001,4.782732,13.324754,8.858412699999999,11.227094000000001,5,0,-3.2639289000000002,0.2,0.0,0.4,0.0,0.4,2
