,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
105883,5,9.415206,5.9028912,5.4626279,3.9159135999999997,4.664112599999999,5,0,-0.22727273,0.8,0.0,0.0,0.0,0.0,1
80110,0,13.101774,8.539546000000001,9.322278,4.2392983,7.068436599999999,4,0,-1.84,0.5,0.25,0.0,0.0,0.0,2
81464,0,15.194181,8.7545004,10.850508,4.0067792,6.1356945,4,0,-2.211596,0.5,0.25,0.0,0.0,0.0,2
81002,0,14.421062,14.421062,13.034958999999999,9.0911751,11.063066000000001,2,0,-0.76666665,0.5,0.0,0.0,0.0,0.0,2
30378,0,12.259976,7.195154700000001,9.1801605,4.3670974000000005,7.7490177,5,0,-0.81666666,0.2,0.2,0.0,0.0,0.0,1
99990,0,14.586997,9.8286753,13.398334,6.316689,10.814404,3,0,-3.2,0.666666667,0.333333333,0.0,0.0,0.0,2
109529,0,17.532825,9.0289125,15.220706,12.592187,14.033764000000001,5,0,-0.51666665,0.8,0.0,0.0,0.0,0.0,2
47015,0,19.233244,13.394819,15.642298,6.9066682,10.175056,4,0,-0.75,0.25,0.0,0.0,0.0,0.25,2
8429,3,9.9801617,5.2853398,8.2659035,1.7273768,4.1842275,5,0,-3.1656854,0.0,0.4,0.2,0.0,0.0,1
50593,0,9.663724900000002,6.7070341,5.6850190000000005,3.9880898,4.6925955,3,0,-0.86745775,0.333333333,0.0,0.333333333,0.0,0.0,1
57688,0,8.5862207,5.7016025,10.539405,3.462796,6.5406971,5,0,-0.5,0.4,0.2,0.0,0.0,0.0,1
7161,0,9.288378699999999,9.288378699999999,11.098205,4.7623057,7.9302554,2,1,-0.41999999,0.0,0.0,0.0,0.0,1.0,1
113808,27,10.521825,6.2533487999999995,8.135771799999999,2.6675191000000003,5.400712,5,1,-0.1125,1.0,0.0,0.0,0.0,0.0,0
55942,3,6.712515799999999,3.9098537,8.8505793,5.415206400000001,6.855237,5,0,-2.7407746,0.4,0.0,0.6,0.0,0.0,1
91738,2,14.113325,7.9341311,10.945582,5.6133137,7.723431599999999,5,0,-0.88571429,0.6,0.2,0.0,0.0,0.0,2
56668,0,7.6347135999999995,5.097043,5.263625599999999,2.3714347,4.4069743,5,0,-2.4606984,0.4,0.0,0.2,0.0,0.4,1
45273,0,14.605846,9.097843199999998,8.1274166,2.6925957,5.6215668,4,0,-1.6171608999999998,0.25,0.0,0.25,0.0,0.0,2
56751,14,7.7181683,4.5395303,4.9712005,1.0466266,3.7272201000000003,5,0,-2.7201128,0.4,0.0,0.0,0.0,0.0,1
76312,0,8.441214599999999,5.6058335,6.9739738,2.5455227000000002,4.6113253,4,0,-0.40000001,0.5,0.25,0.0,0.0,0.0,1
41001,0,7.8738284,4.3810296,11.333145,4.5452094,7.232245900000001,4,0,-3.5768824,0.25,0.0,0.5,0.0,0.0,1
105044,13,7.5816493000000005,4.397259200000001,4.9049788,2.6618123,3.9939178999999996,5,0,-0.28999999,0.8,0.0,0.0,0.0,0.0,1
105668,68,8.9229546,4.6407428,5.0812302,3.5299885000000004,4.256281400000001,5,0,-0.56666666,0.8,0.2,0.0,0.0,0.0,0
90315,6,12.625387,5.8213835,8.7146397,4.4358015,6.1713305,5,0,-3.0567229,0.6,0.4,0.0,0.0,0.0,1
840,0,2.2801737999999996,2.2334585,11.44231,9.2332392,10.264656,3,1,-2.6065397,0.0,0.0,1.0,0.0,0.0,1
110838,1,2.8596506,1.9495654999999998,4.228715900000001,2.1497109,3.2628672,5,1,-0.84375,1.0,0.0,0.0,0.0,0.0,1
